NTF_Links,Price
https://lh3.googleusercontent.com/KJKpQdYwSVduRkoUBhol3cEw0LK2jQVxqeeYHE6nbIDYJVs7jpgq5v4NCIkWE_E-xX3tJN96cN8JfYwogN9hdHU32R-8HTesSKE8Rw=w600,($32.41)
https://lh3.googleusercontent.com/QsHruT8xLp33q1r6vyle6SpXU7XFdE-4XCSqK4gy2PSdKX4hHAuNbRDI8k1DDiWE69ODGgeTXSSNcPiu3WYd1Nw-DhWUOcJ45Z9v=w600,($158.79)
https://lh3.googleusercontent.com/a2NZ5VzeGp8-Pc5mX7Rzr5ALJQKjGWVLGaZ6hBgtE9KD-_BDE4IHas6uIcQUPQTZexJXC3lLrSvNwjKzjpoKeOB430wFlMdt1kwK=w600,($97.22)
https://lh3.googleusercontent.com/3M8E24q8CzDNLIU6OIqvXAZMEfV_85dK7NnKLLoXQppTNMcSBR4PNtLv7s4fI_VX5iT5wuNPJ0OMv4M8jZn16Kwkelghmz3pIOIoWJY=w600,($113.42)
https://lh3.googleusercontent.com/Uyz6xT8MJq9KT7jjBi_Xi9pysXwUPZXjAMRQ4p3nOP480mQdwGHxaRl8ZgFryh7DwjJEifYXbBxmirzb2bjxziWnnHXfK8ThNOzG=w600,($129.62)
https://lh3.googleusercontent.com/iwyYG4es3tVtrsYgxFz24iiC9HC7hlNps4nEKCBITDSuCvpjdY2gKrWzJ4JQ9RcZiTk1s81yJAzoAUfp9dLPoleygrhDODI4PlnwDxs=w600,($256.00)
https://lh3.googleusercontent.com/sVG3xWsi9E7_fHFJjL6W2c4NipKr5WVdFcJim9IZXJHbQLPHpa74cZgz91EHp8GxKjWI6ZVFePPoGlZ506XYvAaEBcwo7L9xnaVmig=w600,($158.79)
https://lh3.googleusercontent.com/fDpzWRZyboQ5XMP84vyDRcEUppXy5a4z0H5zpmo5NipZwyQYrw-AB2qDCOKhlwe55Q16fY8auea6mVoGTeoIfvwXZlwb2hritzY6Jw=w600,($97.22)
https://lh3.googleusercontent.com/-MujBeF7_PaPFixTcIZxnAzCfwKnUCJo0btxPGqOt-mu0NNZAQrIPlrK9dioN9VuCb9xiea7QnzNg5DEHS-VtZzDAR7jps0weGgNWQ=w600,($259.24)
https://lh3.googleusercontent.com/JXFR5GTjQ8bzBG6fu0GNeure26o4qnUXIWh96xlQZexQwo7ZOB1FwcoB9pGVRKS_dq3JjRMUn0ZHaHlwVbhW_-UAEXerXH9_dG1k=w600,($162.03)
